VisitID,User,TypeID,,
SN10001871358,IND@,TNNULL,,
SN10001871358,INDAHEALY,TNRN,,
SN10001871358,INDAPEARCE,TNRN,,
SN10001871358,INDAVOLPE,TNT,,
SN10001871358,INDBGARRETT,TNPT,,
SN10001871358,INDBZULU,TNT,,
SN10001871358,INDCMICELI,TNT,,
SN10001871358,INDDSPACCAREL,TNCC,,
SN10001871358,INDEPRUYNE,TNOT,,
SN10001871358,INDESAVARESE,TNNULL,,
SN10001871358,INDHVILLAFUER,TNT2,,
SN10001871358,INDJCRISTALLO,TNRN,,
SN10001871358,INDJSPENCER,TNNULL,,
SN10001871358,INDKKAZUP,TNRN,,
SN10001871358,INDKLYNN,TNCM-RN,,
SN10001871358,INDKMCDONALD5,TNRN,,
SN10001871358,INDKMCGUINNES,TNRN,,
SN10001871358,INDKRNAGEL,TNRN,,
SN10001871358,INDMFRASCONE,TNCC,,
SN10001871358,INDMPALOTTA,TNRN,,
SN10001871358,INDMZANETTI,TNT,,
SN10001871358,INDNDAVIS2,TNRN,,
SN10001871358,INDPPANG1,TNCC,,
SN10001871358,INDPWALSH,TNRN,,
SN10001871358,INDRALBERT,TNRN,,
SN10001871358,INDSSCHENFELD,TNRN,,
SN10001871358,INDSTMOGAN,TNRN,,
SN10001871358,INDTARNOLD,TNT,,
SN10001871358,INDWBERNHEY1,TNRN,,
SN10001884481,IND@,TNNULL,,
SN10001884481,INDAREEDER,TNRN,,
SN10001884481,INDBOCASIOCOR,TNCC,,
SN10001884481,INDCONEILIS,TNRN,,
SN10001884481,INDCREVIS,TNRN,,
SN10001884481,INDDBERCK,TNNULL,,
SN10001884481,INDDDUVALL,TNCC,,
SN10001884481,INDDEJOHNSON,TNLPN,,
SN10001884481,INDEADESSA,TNRN,,
SN10001884481,INDEMILLS,TNRN,,
SN10001884481,INDFMURRIN,TNRN,,
SN10001884481,INDJCORNELIO,TNRN,,
SN10001884481,INDJEDWARD,TNRN,,
SN10001884481,INDJSIA,TNRN,,
SN10001884481,INDJSPENCER,TNNULL,,
SN10001884481,INDKCOLAIZZI,TNRN,,
SN10001884481,INDLMARAIA,TNCC,,
SN10001884481,INDMPADOVANI,TNRN,,
SN10001884481,INDMROHRMAN,TNRN,,
SN10001884481,INDMVARCASIO,TNRN,,
SN10001884481,INDMWEISBERGE,TNCC,,
SN10001884481,INDPMGAYLE,TNCC,,
SN10001884481,INDRGABRILLO,TNRN,,
SN10001884481,INDSPERL,TNRN,,
SN10001888428,IND@,TNNULL,,
SN10001888428,INDAADAMO,TNRN,,
SN10001888428,INDAREEDER,TNRN,,
SN10001888428,INDBOCASIOCOR,TNCC,,
SN10001888428,INDCDUNNING,TNRN,,
SN10001888428,INDDDUVALL,TNCC,,
SN10001888428,INDDEJOHNSON,TNLPN,,
SN10001888428,INDEMILLS,TNRN,,
SN10001888428,INDENWOSISI,TNRN,,
SN10001888428,INDERUDNICK,TNRN,,
SN10001888428,INDESANSEVERI,TNRN,,
SN10001888428,INDJCORNELIO,TNRN,,
SN10001888428,INDJEDWARD,TNRN,,
SN10001888428,INDJOHARODRIG,TNMR,,
SN10001888428,INDJSPENCER,TNNULL,,
